commit_index,sha,date,rust_code_lines,rust_total_lines,unsafe_lines,unsafe_fn,unsafe_blocks,static_mut,raw_pointer_tokens,c_type_tokens,as_casts,libc_refs,tests,subject
0,7e80b4e,2026-09-05T11:47:38+02:00,0,0,0,0,0,0,0,0,0,0,0,added doomgeneric
1,706008c,2026-09-05T11:57:26+02:00,0,0,0,0,0,0,0,0,0,0,0,docs for buildign/runnig c version
2,a8802f2,2026-09-05T11:59:03+02:00,0,0,0,0,0,0,0,0,0,0,0,adding c-binary to gitignore
3,588b5ed,2026-09-05T12:30:16+02:00,145160,145167,48430,1426,244,1639,10456,52321,15243,8,0,Merge pull request #1 from voelklmichael/c2rust-transpile-x11
4,edf8108,2026-09-06T10:11:39+02:00,131636,131723,46021,1384,65,986,6059,3325,49824,8,0,Merge pull request #68 from voelklmichael/bool-phase19-tier4plus
5,62acb6b,2026-09-06T10:35:03+02:00,131627,131714,46007,1382,65,986,6059,3325,49820,8,0,Merge pull request #70 from voelklmichael/m-fixed-simplify
6,e7a72f4,2026-09-06T10:35:46+02:00,131626,131713,45987,1379,65,981,6056,3325,28819,8,0,Merge pull request #69 from voelklmichael/finecosine-index
7,96412d1,2026-09-06T10:46:10+02:00,131347,131434,45987,1379,65,981,6056,3325,28819,8,0,Merge pull request #71 from voelklmichael/const-dedup-phase1-pu-tags
8,c46be93,2026-09-06T13:30:43+02:00,117072,117159,45878,1270,65,974,5704,3010,28819,73,0,Merge pull request #93 from voelklmichael/type-dedup-phase10-stdint-types
9,c41eaf4,2026-09-06T14:23:42+02:00,117033,117119,45864,1262,65,974,5703,3010,28811,73,0,Merge pull request #99 from voelklmichael/extern-fnptr-phase5-loop-interface
10,40e9831,2026-09-06T14:33:33+02:00,117025,117111,45860,1262,65,974,5703,3010,28767,73,0,Merge pull request #100 from voelklmichael/bool-locals-phase1
11,c287d0a,2026-09-06T15:17:43+02:00,117023,117109,45860,1262,65,974,5703,3010,28764,73,0,Merge pull request #101 from voelklmichael/bool-fields-phase1
12,b633c86,2026-09-06T15:49:13+02:00,116519,116605,45452,1184,65,974,5614,3001,28723,65,0,Merge pull request #102 from voelklmichael/action-enum-phase1-core
13,828b3f0,2026-09-06T18:55:45+02:00,80965,81051,45449,1182,65,974,5565,2908,28079,65,0,Merge pull request #116 from voelklmichael/extern-c-removal-phase3-private-fns
14,2fce3b0,2026-09-06T19:25:41+02:00,80875,80961,45379,1153,65,974,5557,2907,28073,65,0,Merge pull request #117 from voelklmichael/dead-code-removal-empty-body-fns
15,a0ece51,2026-09-06T19:32:17+02:00,80875,80961,45379,1153,65,974,5557,2907,27964,65,0,Merge pull request #119 from voelklmichael/static-cast-cleanup-phase1
16,cacba95,2026-09-06T19:46:18+02:00,80886,80981,45382,1154,65,976,5557,2907,27964,65,0,Merge pull request #120 from voelklmichael/gamestate-phase0-infra
17,22b4f38,2026-09-06T21:39:59+02:00,80886,80981,45382,1154,65,976,5557,2907,27964,65,0,Capture Track 17 idea: typed arena indices instead of raw pointer returns
18,9df617f,2026-09-06T21:47:14+02:00,81225,81397,45258,1142,477,893,5555,2905,27959,65,0,Merge pull request #138 from voelklmichael/gamestate-phase17-i-sound
19,33c6538,2026-09-06T22:15:35+02:00,60135,60292,41342,1142,475,893,5544,2905,27841,65,0,Merge pull request #139 from voelklmichael/minor_event_references
20,ed69455,2026-09-06T22:58:54+02:00,60370,60527,41557,1142,590,892,5543,2905,27840,65,0,"Track 16 phase 18: z_zone.rs's mainzone, the Z_Malloc/Z_Free allocator hub"
21,a62250b,2026-09-06T23:02:44+02:00,60385,60542,41525,1142,596,890,5543,2905,27840,65,0,Track 16 phase 19: two small read-only/local-static cleanups
22,a88d369,2026-09-06T23:09:01+02:00,60723,60880,41813,1142,695,886,5540,2905,27837,65,0,Track 16 phase 20: v_video.rs's patch-drawing hub (tinttable/xlatab/dest_screen/dirtybox)
23,c2557cf,2026-09-06T23:17:46+02:00,60750,60907,41861,1142,880,881,5540,2905,27837,65,0,Track 16 phase 21: doomstat.rs's game-identification hub
24,0fc6f42,2026-09-06T23:30:05+02:00,60883,61040,41902,1142,880,861,5540,2905,27837,65,0,"Track 16 phase 22: i_scale.rs, the flagged 5th atomic dispatch hub"
